,Date,Open,High,Low,Close,Volume,Stock,SHigh
0,2024-02-15 00:00:00-05:00,19.64243177786461,19.700573632322744,19.564908689155025,19.68119239807129,5247500,INFY,0.00017976632961262874
1,2024-02-16 00:00:00-05:00,19.71995515049352,19.942833802705458,19.63274144340254,19.836238861083984,5516600,INFY,0.00018198656166312142
2,2024-02-20 00:00:00-05:00,19.652121772304277,19.76840547753604,19.3710994294512,19.400171279907227,7587200,INFY,0.00018038798539925143
3,2024-02-21 00:00:00-05:00,19.17729315614302,19.322648715758366,19.07069821655353,19.1676025390625,6192500,INFY,0.00017630277631325457
4,2024-02-22 00:00:00-05:00,19.574599306280753,19.729645483699922,19.516455603526392,19.68119239807129,6590200,INFY,0.00018003276324095817
5,2024-02-23 00:00:00-05:00,19.584289183641,19.632742272012226,19.477696085816966,19.48738670349121,4228200,INFY,0.00017914467826997505
6,2024-02-26 00:00:00-05:00,19.312959520925947,19.40986385057116,19.21605519128073,19.37110137939453,5145700,INFY,0.00017710207335532922
7,2024-02-27 00:00:00-05:00,19.361409476147674,19.43893256505762,19.312958238690044,19.38079071044922,2751500,INFY,0.0001773684782351223
8,2024-02-28 00:00:00-05:00,19.332340240478516,19.342029009717695,19.19667344327801,19.332340240478516,4344500,INFY,0.00017648039011468341
9,2024-02-29 00:00:00-05:00,19.40986389625195,19.468005754857373,19.312959566378673,19.342029571533203,6256900,INFY,0.00017763492412963932
10,2024-03-01 00:00:00-05:00,19.303268626985243,19.303268626985243,19.148222441089484,19.216054916381836,6151800,INFY,0.0001761251643922875
11,2024-03-04 00:00:00-05:00,19.03193692226026,19.196673726198814,18.896271971356633,19.186983108520508,6821800,INFY,0.0001751482583875933
12,2024-03-05 00:00:00-05:00,18.789676295396415,18.886580620119368,18.624939497856275,18.692773818969727,7522600,INFY,0.00017230636055656816
13,2024-03-06 00:00:00-05:00,18.9156510690248,19.012555386560223,18.702461200787646,18.73153305053711,9226500,INFY,0.00017346087643742248
